arm,seed,window_end,success
wt_ppo,2,1500,59.60
wt_ppo,2,1750,57.20
wt_ppo,2,2000,48.80
wt_ppo,2,2250,50.00
wt_ppo,2,2500,48.40
wt_ppo,2,2750,50.00
wt_ppo,2,3000,62.80
wt_ppo,3,250,27.60
wt_ppo,3,500,60.00
wt_ppo,3,750,71.60
wt_ppo,3,1000,78.00
wt_ppo,3,1250,76.80
wt_ppo,3,1500,76.00
wt_ppo,3,1750,74.00
wt_ppo,3,2000,71.60
wt_ppo,3,2250,72.00
wt_ppo,3,2500,74.40
wt_ppo,3,2750,80.80
wt_ppo,3,3000,82.40
wt_ppo,4,250,61.60
wt_ppo,4,500,78.40
wt_ppo,4,750,80.80
wt_ppo,4,1000,82.80
wt_ppo,4,1250,82.80
wt_ppo,4,1500,74.40
wt_ppo,4,1750,75.20
wt_ppo,4,2000,77.60
wt_ppo,4,2250,74.00
wt_ppo,4,2500,81.20
wt_ppo,4,2750,85.20
wt_ppo,4,3000,74.40
wt_ppo,5,250,47.60
wt_ppo,5,500,47.20
wt_ppo,5,750,63.20
wt_ppo,5,1000,39.60
wt_ppo,5,1250,24.00
wt_ppo,5,1500,44.40
wt_ppo,5,1750,55.60
wt_ppo,5,2000,50.80
wt_ppo,5,2250,42.00
wt_ppo,5,2500,41.20
wt_ppo,5,2750,60.00
wt_ppo,5,3000,67.20
wt_ppo,6,250,62.00
wt_ppo,6,500,30.00
wt_ppo,6,750,37.60
wt_ppo,6,1000,47.60
wt_ppo,6,1250,27.20
wt_ppo,6,1500,50.80
wt_ppo,6,1750,70.40
wt_ppo,6,2000,62.40
wt_ppo,6,2250,60.00
wt_ppo,6,2500,63.20
wt_ppo,6,2750,49.60
wt_ppo,6,3000,13.60
wt_ppo,6,3250,8.00
wt_ppo,6,3500,21.20
wt_ppo,6,3750,31.20
wt_ppo,6,4000,24.00
wt_ppo,6,4250,33.20
wt_ppo,6,4500,38.80
wt_ppo,7,250,38.80
wt_ppo,7,500,68.40
wt_ppo,7,750,72.80
wt_ppo,7,1000,82.00
wt_ppo,7,1250,80.40
wt_ppo,7,1500,74.40
wt_ppo,7,1750,80.40
wt_ppo,7,2000,74.40
wt_ppo,7,2250,82.00
wt_ppo,7,2500,79.60
wt_ppo,7,2750,82.80
wt_ppo,7,3000,86.80
wt_ppo,8,250,24.00
wt_ppo,8,500,44.80
